region,modelId,modelName,providerName,inferenceTypesSupported,modelLifecycle,availability
us-east-1,openai.gpt-6-astra,GPT-6 Astra,OpenAI,"[""INFERENCE_PROFILE""]","{""status"":""ACTIVE"",""startOfLifeTime"":""2026-09-08T17:00:00Z""}","{""modelId"":""openai.gpt-6-astra"",""agreementAvailability"":{""status"":""AVAILABLE""},""authorizationStatus"":""AUTHORIZED"",""entitlementAvailability"":""AVAILABLE"",""regionAvailability"":""AVAILABLE""}"
us-east-1,nvidia.nemotron-nano-12b-v2,NVIDIA Nemotron Nano 12B v2 VL BF16,NVIDIA,"[""ON_DEMAND""]","{""status"":""ACTIVE"",""startOfLifeTime"":""2025-12-02T00:00:00Z""}","{""modelId"":""nvidia.nemotron-nano-12b-v2"",""agreementAvailability"":{""status"":""AVAILABLE""},""authorizationStatus"":""AUTHORIZED"",""entitlementAvailability"":""AVAILABLE"",""regionAvailability"":""AVAILABLE""}"
us-east-1,qwen.qwen3-coder-next,Qwen3 Coder Next,Qwen,"[""ON_DEMAND""]","{""status"":""ACTIVE"",""startOfLifeTime"":""2026-02-06T18:00:00Z""}","{""modelId"":""qwen.qwen3-coder-next"",""agreementAvailability"":{""status"":""AVAILABLE""},""authorizationStatus"":""AUTHORIZED"",""entitlementAvailability"":""AVAILABLE"",""regionAvailability"":""AVAILABLE""}"
us-east-1,openai.gpt-5.6-terra,GPT-5.6 Terra,OpenAI,"[""INFERENCE_PROFILE""]","{""status"":""ACTIVE"",""startOfLifeTime"":""2026-08-13T17:00:00Z""}","{""modelId"":""openai.gpt-5.6-terra"",""agreementAvailability"":{""status"":""AVAILABLE""},""authorizationStatus"":""AUTHORIZED"",""entitlementAvailability"":""AVAILABLE"",""regionAvailability"":""AVAILABLE""}"
us-east-1,anthropic.claude-sonnet-4-20250514-v1:0,Claude Sonnet 4,Anthropic,"[""INFERENCE_PROFILE""]","{""status"":""LEGACY"",""startOfLifeTime"":""2025-05-22T00:00:00Z"",""endOfLifeTime"":""2026-10-14T08:00:00Z"",""legacyTime"":""2026-04-14T08:00:00Z"",""publicExtendedAccessTime"":""2026-07-14T08:00:00Z""}","{""modelId"":""anthropic.claude-sonnet-4-20250514-v1"",""agreementAvailability"":{""status"":""AVAILABLE""},""authorizationStatus"":""AUTHORIZED"",""entitlementAvailability"":""AVAILABLE"",""regionAvailability"":""AVAILABLE""}"
us-east-1,anthropic.claude-haiku-4-5-20251001-v1:0,Claude Haiku 4.5,Anthropic,"[""INFERENCE_PROFILE""]","{""status"":""ACTIVE"",""startOfLifeTime"":""2025-10-15T17:00:00Z""}","{""modelId"":""anthropic.claude-haiku-4-5-20251001-v1"",""agreementAvailability"":{""status"":""AVAILABLE""},""authorizationStatus"":""AUTHORIZED"",""entitlementAvailability"":""AVAILABLE"",""regionAvailability"":""AVAILABLE""}"
us-east-1,anthropic.claude-opus-5-5,Claude Opus 5.5,Anthropic,"[""INFERENCE_PROFILE""]","{""status"":""ACTIVE"",""startOfLifeTime"":""2026-09-22T10:00:00Z""}","{""modelId"":""anthropic.claude-opus-5-5"",""agreementAvailability"":{""status"":""AVAILABLE""},""authorizationStatus"":""AUTHORIZED"",""entitlementAvailability"":""AVAILABLE"",""regionAvailability"":""AVAILABLE""}"
us-east-1,moonshotai.kimi-k2.5,Kimi K2.5,Moonshot AI,"[""ON_DEMAND""]","{""status"":""ACTIVE"",""startOfLifeTime"":""2026-02-06T18:00:00Z""}","{""modelId"":""moonshotai.kimi-k2.5"",""agreementAvailability"":{""status"":""AVAILABLE""},""authorizationStatus"":""AUTHORIZED"",""entitlementAvailability"":""AVAILABLE"",""regionAvailability"":""AVAILABLE""}"
us-east-1,openai.gpt-oss-120b-1:0,gpt-oss-120b,OpenAI,"[""ON_DEMAND""]","{""status"":""ACTIVE"",""startOfLifeTime"":""2025-08-06T00:00:00Z""}","{""modelId"":""openai.gpt-oss-120b-1"",""agreementAvailability"":{""status"":""AVAILABLE""},""authorizationStatus"":""AUTHORIZED"",""entitlementAvailability"":""AVAILABLE"",""regionAvailability"":""AVAILABLE""}"
us-east-1,stability.stable-creative-upscale-v1:0,Stable Image Creative Upscale,Stability AI,"[""INFERENCE_PROFILE""]","{""status"":""ACTIVE"",""startOfLifeTime"":""2025-09-03T17:00:00Z""}","{""modelId"":""stability.stable-creative-upscale-v1"",""agreementAvailability"":{""status"":""AVAILABLE""},""authorizationStatus"":""AUTHORIZED"",""entitlementAvailability"":""AVAILABLE"",""regionAvailability"":""AVAILABLE""}"
