region,inferenceProfileId,inferenceProfileName,inferenceProfileArn,type,status,models
us-east-1,us.anthropic.claude-3-sonnet-20240229-v1:0,US Anthropic Claude 3 Sonnet,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.anthropic.claude-3-sonnet-20240229-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-sonnet-20240229-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/anthropic.claude-3-sonnet-20240229-v1:0""}]"
us-east-1,us.anthropic.claude-3-haiku-20240307-v1:0,US Anthropic Claude 3 Haiku,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.anthropic.claude-3-haiku-20240307-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-haiku-20240307-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/anthropic.claude-3-haiku-20240307-v1:0""}]"
us-east-1,us.meta.llama3-2-11b-instruct-v1:0,US Meta Llama 3.2 11B Instruct,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.meta.llama3-2-11b-instruct-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-2-11b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/meta.llama3-2-11b-instruct-v1:0""}]"
us-east-1,us.meta.llama3-2-3b-instruct-v1:0,US Meta Llama 3.2 3B Instruct,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.meta.llama3-2-3b-instruct-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-2-3b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/meta.llama3-2-3b-instruct-v1:0""}]"
us-east-1,us.meta.llama3-2-90b-instruct-v1:0,US Meta Llama 3.2 90B Instruct,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.meta.llama3-2-90b-instruct-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-2-90b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/meta.llama3-2-90b-instruct-v1:0""}]"
us-east-1,us.meta.llama3-2-1b-instruct-v1:0,US Meta Llama 3.2 1B Instruct,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.meta.llama3-2-1b-instruct-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-2-1b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/meta.llama3-2-1b-instruct-v1:0""}]"
us-east-1,us.meta.llama3-1-8b-instruct-v1:0,US Meta Llama 3.1 8B Instruct,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.meta.llama3-1-8b-instruct-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-1-8b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/meta.llama3-1-8b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/meta.llama3-1-8b-instruct-v1:0""}]"
us-east-1,us.meta.llama3-1-70b-instruct-v1:0,US Meta Llama 3.1 70B Instruct,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.meta.llama3-1-70b-instruct-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-1-70b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/meta.llama3-1-70b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/meta.llama3-1-70b-instruct-v1:0""}]"
us-east-1,us.meta.llama3-3-70b-instruct-v1:0,US Meta Llama 3.3 70B Instruct,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.meta.llama3-3-70b-instruct-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-3-70b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/meta.llama3-3-70b-instruct-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/meta.llama3-3-70b-instruct-v1:0""}]"
us-east-1,us.deepseek.r1-v1:0,US DeepSeek-R1,arn:aws:bedrock:us-east-1:496714466045:inference-profile/us.deepseek.r1-v1:0,SYSTEM_DEFINED,ACTIVE,"[{""modelArn"":""arn:aws:bedrock:us-east-1::foundation-model/deepseek.r1-v1:0""},{""modelArn"":""arn:aws:bedrock:us-east-2::foundation-model/deepseek.r1-v1:0""},{""modelArn"":""arn:aws:bedrock:us-west-2::foundation-model/deepseek.r1-v1:0""}]"
