region,quota_code,name,applied_value,default_value,unit,adjustable,global,level,context,period,source,collected_at,usage_metric,comparison,error_reason
us-east-1,L-5B274E24,On-demand model inference requests per minute for Mistral Large 3,10000.0,10000.0,None,False,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-0AD9BBE8,Cross-region model inference tokens per minute for Anthropic Claude Opus 4.6 V1,3000000.0,3000000.0,None,True,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-C709F563,On-demand model inference tokens per minute for Mistral Large 3,100000000.0,100000000.0,None,False,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-FEE1DCB6,On-demand model inference tokens per minute for Cohere Command R Plus,300000.0,300000.0,None,False,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-F6E116D7,Global cross-region model inference requests per minute for Anthropic Claude Sonnet 4.6,10000.0,10000.0,None,True,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-CCA5DF70,Cross-region model inference requests per minute for Anthropic Claude Haiku 4.5,10000.0,10000.0,None,True,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-44992E63,On-demand model inference tokens per minute for Amazon Titan Text Express,300000.0,300000.0,None,False,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-89F8391A,Cross-region model inference requests per minute for Amazon Nova Lite,4000.0,4000.0,None,False,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-A0EBB440,Global cross-region model inference tokens per day for Amazon Nova 2 Pro Preview,1440000000.0,1440000000.0,None,False,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-AC7B3FB9,On-demand model inference requests per minute for NVIDIA Nemotron Nano 2,10000.0,10000.0,None,False,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-DE3FBBF4,Cross-region model inference tokens per minute for Meta Llama 4 Maverick V1,600000.0,600000.0,None,True,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-D5F39C2F,Global cross-region model inference requests per minute for Amazon Nova 2 Lite,2000.0,2000.0,None,True,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-96616D9A,On-demand model inference tokens per minute for Amazon Titan Text Premier,300000.0,300000.0,None,False,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
us-east-1,L-44FD86CF,Minimum number of records per batch inference job for GLM 4.7 Flash,100.0,100.0,None,False,False,ACCOUNT,{},,ListServiceQuotas,2026-09-25T14:31:30.475867Z,,"{""status"":""unmapped"",""reason"":""No confirmed mapping between this quota and a usage series.""}",
