id,region,namespace,metric,dimensions,stat,period_seconds,status,total,max,p95,peak_per_minute,p95_per_minute,observed_points,expected_intervals,missing_intervals
mf36397ce8472c9bace0a140f,us-east-1,AWS/Bedrock,InvocationServerErrors,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-opus-4-7""}]",Sum,60,ok,41.0,8.0,6.199999999999996,8.0,6.199999999999996,13,20159,20146
m9581c6196b32dc0440af8031,us-east-1,AWS/Bedrock,InvocationServerErrors,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-haiku-4-5-20251001-v1:0""}]",Sum,60,ok,16.0,3.0,3.0,3.0,3.0,10,20159,20149
m5bb6cbda3bc534fcaf4e1474,us-east-1,AWS/Bedrock,Invocations,"[{""Name"":""ModelId"",""Value"":""stability.stable-fast-upscale-v1:0""}]",Sum,60,ok,2.0,2.0,2.0,2.0,2.0,1,20159,20158
m6ae41864f930927280735578,us-east-1,AWS/Bedrock,InvocationClientErrors,"[{""Name"":""ModelId"",""Value"":""stability.stable-fast-upscale-v1:0""}]",Sum,60,ok,2.0,2.0,2.0,2.0,2.0,1,20159,20158
m7dbde01fec6379a764dfa612,us-east-1,AWS/Bedrock,EstimatedTPMQuotaUsage,"[{""Name"":""ModelId"",""Value"":""us.stability.stable-fast-upscale-v1:0""}]",Sum,60,ok,0.0,0.0,0.0,0.0,0.0,5,20159,20154
mbcdb3809ace395c567d9be34,us-east-1,AWS/Bedrock,Invocations,"[{""Name"":""ModelId"",""Value"":""us.stability.stable-fast-upscale-v1:0""}]",Sum,60,ok,15.0,5.0,5.0,5.0,5.0,5,20159,20154
m37e00f1ba2dbf554fe1641e4,us-east-1,AWS/Bedrock,Invocations,"[{""Name"":""ModelId"",""Value"":""amazon.nova-canvas-v1:0""}]",Sum,60,ok,2.0,1.0,1.0,1.0,1.0,2,20159,20157
m11a15d1dea0a05e799389ff3,us-east-1,AWS/Bedrock,InvocationClientErrors,"[{""Name"":""ModelId"",""Value"":""amazon.nova-canvas-v1:0""}]",Sum,60,ok,2.0,1.0,1.0,1.0,1.0,2,20159,20157
mda9becbc3a29c0a5b59d5aed,us-east-1,AWS/Bedrock,InputTokenCount,[],Sum,60,ok,185863247.0,257179.0,94098.89999999997,257179.0,94098.89999999997,4519,20159,15640
m0cb6377945d475e5a286da6a,us-east-1,AWS/Bedrock,EstimatedTPMQuotaUsage,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-opus-4-7""}]",Sum,60,ok,109638772.0,165405.0,85333.2,165405.0,85333.2,3417,20159,16742
mc27f9c83abb457e7abef935b,us-east-1,AWS/Bedrock,Invocations,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-opus-4-7""}]",Sum,60,ok,11186.0,14.0,10.0,14.0,10.0,3420,20159,16739
m8d4963498c5073667e01b677,us-east-1,AWS/Bedrock,Invocations,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-haiku-4-5-20251001-v1:0""}]",Sum,60,ok,6659.0,26.0,14.0,26.0,14.0,1273,20159,18886
m0b5dc351434a56ad577234dd,us-east-1,AWS/Bedrock,OutputTokenCount,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-haiku-4-5-20251001-v1:0""}]",Sum,60,ok,1104385.0,2118.0,1525.0,2118.0,1525.0,1273,20159,18886
m1b91eecc387612f18a4c5a26,us-east-1,AWS/Bedrock,InputTokenCount,"[{""Name"":""ModelId"",""Value"":""global.openai.gpt-5.6-sol""}]",Sum,60,ok,4.0,2.0,2.0,2.0,2.0,2,20159,20157
m49f69a1fd26511238f4634f2,us-east-1,AWS/Bedrock,OutputTokenCount,"[{""Name"":""ModelId"",""Value"":""global.openai.gpt-5.6-sol""}]",Sum,60,ok,179.0,95.0,94.45,95.0,94.45,2,20159,20157
m1a5b46bad030f0b5a36cef72,us-east-1,AWS/Bedrock,Invocations,"[{""Name"":""ModelId"",""Value"":""global.openai.gpt-5.6-sol""}]",Sum,60,ok,2.0,1.0,1.0,1.0,1.0,2,20159,20157
m6991bb1962349e035059df1a,us-east-1,AWS/Bedrock,InvocationClientErrors,[],Sum,60,ok,676.0,16.0,13.0,16.0,13.0,91,20159,20068
m8aad32227bd8e39be79d6b9f,us-east-1,AWS/Bedrock,Invocations,"[{""Name"":""ModelId"",""Value"":""arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-embed-text-v2:0""}]",Sum,60,ok,4202.0,9.0,9.0,9.0,9.0,1087,20159,19072
m95bb4d5bd8fbfd591a09a663,us-east-1,AWS/Bedrock,InputTokenCount,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-haiku-4-5-20251001-v1:0""}]",Sum,60,ok,22326664.0,141014.0,53733.59999999999,141014.0,53733.59999999999,1273,20159,18886
m1c34dacb72e28bb2c9f2dbd9,us-east-1,AWS/Bedrock,EstimatedTPMQuotaUsage,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-haiku-4-5-20251001-v1:0""}]",Sum,60,ok,27848589.0,151524.0,60462.4,151524.0,60462.4,1273,20159,18886
m4b3822706f586c89bf7555b5,us-east-1,AWS/Bedrock,EstimatedTPMQuotaUsage,"[{""Name"":""ModelId"",""Value"":""arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-embed-text-v2:0""}]",Sum,60,ok,54990.0,133.0,113.0,133.0,113.0,1087,20159,19072
m2286c933e81be4575e04bf7a,us-east-1,AWS/Bedrock,EstimatedTPMQuotaUsage,[],Sum,60,ok,242458778.0,305679.0,111852.09999999992,305679.0,111852.09999999992,4143,20159,16016
m96257acf61545b319a7e47a9,us-east-1,AWS/Bedrock,InputTokenCount,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-opus-4-7""}]",Sum,60,ok,90294172.0,160585.0,74572.2,160585.0,74572.2,3417,20159,16742
m326cb490313d1089df7a021b,us-east-1,AWS/Bedrock,InputTokenCount,"[{""Name"":""ModelId"",""Value"":""arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-embed-text-v2:0""}]",Sum,60,ok,54990.0,133.0,113.0,133.0,113.0,1087,20159,19072
m9b8f66a71c4292b636ffb11a,us-east-1,AWS/Bedrock,OutputTokenCount,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-opus-4-7""}]",Sum,60,ok,3868920.0,5157.0,2631.2,5157.0,2631.2,3417,20159,16742
m90b944906ab58455ad08ff27,us-east-1,AWS/Bedrock,InvocationClientErrors,"[{""Name"":""ModelId"",""Value"":""openai.gpt-5.6-sol""}]",Sum,60,ok,1.0,1.0,1.0,1.0,1.0,1,20159,20158
m63d8ca30c8f53e8f221a5445,us-east-1,AWS/Bedrock,Invocations,"[{""Name"":""ModelId"",""Value"":""openai.gpt-5.6-sol""}]",Sum,60,ok,1.0,1.0,1.0,1.0,1.0,1,20159,20158
m9ecffb888368caea1c16c778,us-east-1,AWS/Bedrock,Invocations,[],Sum,60,ok,36574.0,34.0,21.0,34.0,21.0,4524,20159,15635
m70fe0b4c16967936ec7fb4be,us-east-1,AWS/Bedrock,Invocations,"[{""Name"":""ModelId"",""Value"":""global.openai.gpt-6-astra""}]",Sum,60,ok,2445.0,8.0,5.0,8.0,5.0,994,20159,19165
m9b902b9fbaa266a7b13f51a0,us-east-1,AWS/Bedrock,OutputTokenCount,"[{""Name"":""ModelId"",""Value"":""global.openai.gpt-6-astra""}]",Sum,60,ok,1514175.0,10608.0,4214.749999999998,10608.0,4214.749999999998,994,20159,19165
m474f5e2c3d77ad5ee5f0a941,us-east-1,AWS/Bedrock,InputTokenCount,"[{""Name"":""ModelId"",""Value"":""global.openai.gpt-6-astra""}]",Sum,60,ok,2653016.0,61832.0,12489.74999999998,61832.0,12489.74999999998,994,20159,19165
m8bcfaff8965e6ecd531f0bfa,us-east-1,AWS/Bedrock,InvocationClientErrors,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-sonnet-4-5-20250929-v1:0""}]",Sum,60,ok,670.0,16.0,13.0,16.0,13.0,87,20159,20072
m2e3e971fbfc4ad8386d49a11,us-east-1,AWS/Bedrock,EstimatedTPMQuotaUsage,"[{""Name"":""ModelId"",""Value"":""global.openai.gpt-6-astra""}]",Sum,60,ok,7464116.0,137803.0,92676.0,137803.0,92676.0,221,20159,19938
mb5e08a4b7773ae9e511f9c4f,us-east-1,AWS/Bedrock,InputTokenCount,"[{""Name"":""ModelId"",""Value"":""global.anthropic.claude-sonnet-4-5-20250929-v1:0""}]",Sum,60,ok,8337.0,2219.0,2193.95,2219.0,2193.95,4,20159,20155
m92dce944d17061e39b4af313,us-east-1,AWS/Bedrock,OutputTokenCount,"[{""Name"":""ModelId"",""Value"":""global.anthropic.claude-sonnet-4-5-20250929-v1:0""}]",Sum,60,ok,587.0,269.0,250.69999999999996,269.0,250.69999999999996,4,20159,20155
m156476c79b613a555206cefa,us-east-1,AWS/Bedrock,EstimatedTPMQuotaUsage,"[{""Name"":""ModelId"",""Value"":""global.anthropic.claude-sonnet-4-5-20250929-v1:0""}]",Sum,60,ok,11272.0,3564.0,3447.45,3564.0,3447.45,4,20159,20155
ma2e6edc20b84c644b6664ec6,us-east-1,AWS/Bedrock,Invocations,"[{""Name"":""ModelId"",""Value"":""global.anthropic.claude-sonnet-4-5-20250929-v1:0""}]",Sum,60,ok,4.0,1.0,1.0,1.0,1.0,4,20159,20155
m6951d4594dbb593b475f3364,us-east-1,AWS/Bedrock,InvocationServerErrors,[],Sum,60,ok,57.0,8.0,5.0,8.0,5.0,22,20159,20137
mc88c48a83ad0302c7210a5eb,us-east-1,AWS/Bedrock,InputTokenCount,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-sonnet-4-5-20250929-v1:0""}]",Sum,60,ok,70526064.0,257179.0,67593.4,257179.0,67593.4,2814,20159,17345
m89c0033a7656bb1dca926035,us-east-1,AWS/Bedrock,EstimatedTPMQuotaUsage,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-sonnet-4-5-20250929-v1:0""}]",Sum,60,ok,97390284.0,305679.0,77348.20000000001,305679.0,77348.20000000001,2813,20159,17346
md60fe83909d2e5ac86195bb4,us-east-1,AWS/Bedrock,OutputTokenCount,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-sonnet-4-5-20250929-v1:0""}]",Sum,60,ok,5373241.0,15862.0,7645.699999999998,15862.0,7645.699999999998,2814,20159,17345
m441fabac3fa88b09baa0ff64,us-east-1,AWS/Bedrock,Invocations,"[{""Name"":""ModelId"",""Value"":""us.anthropic.claude-sonnet-4-5-20250929-v1:0""}]",Sum,60,ok,12055.0,25.0,9.0,25.0,9.0,2813,20159,17346
m3017daa9c74bfe9895dd07f3,us-east-1,AWS/Bedrock,OutputTokenCount,[],Sum,60,ok,11861487.0,17556.0,7234.099999999999,17556.0,7234.099999999999,4519,20159,15640
me4615a1530caff76b84b3fe6,us-east-1,AWS/Bedrock,Invocations,"[{""Name"":""ModelId"",""Value"":""openai.gpt-6-astra""}]",Sum,60,ok,1.0,1.0,1.0,1.0,1.0,1,20159,20158
m228526b182a17f8d8edc250e,us-east-1,AWS/Bedrock,InvocationClientErrors,"[{""Name"":""ModelId"",""Value"":""openai.gpt-6-astra""}]",Sum,60,ok,1.0,1.0,1.0,1.0,1.0,1,20159,20158
mb1faf45d07ee3d8e5cae7ec8,us-east-1,AWS/Bedrock,EstimatedTPMQuotaUsage,"[{""Name"":""ModelId"",""Value"":""global.openai.gpt-5.6-sol""}]",Sum,60,ok,50755.0,50755.0,50755.0,50755.0,50755.0,1,20159,20158
m088930bd9c17bb735c84fccb,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""ListAgentVersions""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
mfc455128b28942ba7ce00662,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""DisassociateAgentKnowledgeBase""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
m220c8a580e813af6464e4a12,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""DeleteFlowVersion""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
mac073546b9c449309dc52b4c,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""GetDataAutomationProject""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
med5a3a64bdd4a5ed1c0b464f,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""GetAgentActionGroup""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
md23f70311c648104b7d2c35a,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""ListAutomatedReasoningPolicyBuildWorkflows""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
m90eef50fcacfdeb40d4998b1,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""GetFlow""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
m58f01c94d4c9da2e5c3e4201,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""DeleteFlow""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
m9df40e349023ff8d7e1313bc,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""GetAutomatedReasoningPolicyTestResult""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
maab114e21441fa1e923ee25c,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""GetAutomatedReasoningPolicy""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
m892ad91ee5c8c4b7c1a2e1eb,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""ExportAutomatedReasoningPolicyVersion""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
m0bc77cbcfac4d60276e322b5,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""ListPrompts""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
m436c6515ce7c84c2466953fb,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""ListFlowAliases""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
me3e0521337364301ed63940b,us-east-1,AWS/Usage,CallCount,"[{""Name"":""Class"",""Value"":""None""},{""Name"":""Resource"",""Value"":""DeleteDataAutomationLibrary""},{""Name"":""Service"",""Value"":""Bedrock""},{""Name"":""Type"",""Value"":""API""}]",Sum,60,no_data,,,,,,0,20159,20159
